stage,candidate_id,config_key,cv_seed,fold,n_train,n_validation,best_n_estimators,mse,rmse,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",0,1,240,60,560,1294.4108541313717,35.97792175948149,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.2136943472964768,0.004621731925563462,0.365863021107685,0.0006268403330597713,0.18665221774016774,0.0064985803247153045,0.10889325248823714,0.11086738383593929,0.0012452539575207387,0.0,0.0007663071349409942,0.00027106385569377196
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",0,2,240,60,917,1152.8352867409255,33.95342820306847,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.21167133200465468,0.008083644043914172,0.3254536323868589,0.0006576294865816421,0.23290525908233137,0.003670454503826245,0.11659885796780196,0.09342153673004647,0.00010561638317754567,3.9595925684404105e-05,0.001649187713003015,0.005743253772119551
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",0,3,240,60,900,1651.1679589032751,40.63456606023097,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.176987675264356,0.014564042013604273,0.35899918145849363,0.00015802905240449048,0.17238748978978813,0.002548506651255238,0.1340829999655405,0.13563281917960518,0.002240394274259451,3.0149597008610034e-05,0.0015374464317317769,0.0008312663219527489
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",0,4,240,60,714,773.3983972418168,27.8100413024112,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.2260501152435578,0.005197743482232706,0.3005354494468518,0.0014666987634259175,0.21154807702769277,0.007179321122905103,0.11401526274210293,0.12946324179359608,0.001490104232832997,0.0,0.00112012452838278,0.0019338616164191382
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",0,5,240,60,477,1534.2019743824458,39.16889038998227,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.24306268062225575,0.0012917689896580866,0.39552874919793707,0.00015783066931564422,0.14313175271887887,0.001458350818949471,0.10981017077989529,0.10456529948263885,0.0003732262315481818,0.0001141667237248924,0.0,0.0005060037651979036
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",42,1,240,60,208,1194.573561241434,34.56260350785852,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.18178903896766296,0.0,0.42914023491719094,0.0,0.15420495272275792,0.0034075437217897064,0.10422115721744633,0.12723707245315216,0.0,0.0,0.0,0.0
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",42,2,240,60,774,1394.2695287062224,37.33991870245867,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.2366328046844514,0.0051617608338548875,0.26445178148894144,0.0012936801801406927,0.2584097570302862,0.010184573726311532,0.12079445064142084,0.096767061688156,0.0016248501752514472,0.00022111394266714437,0.0021413532298451173,0.0023168123786733445
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",42,3,240,60,602,1494.455020787927,38.658181809132294,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.21064248259994184,0.00577054526897793,0.3289837150448674,0.0,0.17977254761113512,0.0007078402162287832,0.10402305160967405,0.16925451236659544,0.00046972803401179917,0.0,0.0,0.0003755772485675934
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",42,4,240,60,469,1053.2030801563544,32.45309045617003,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.23439231540202854,0.002740931617887282,0.3491920336866009,0.0,0.16165576486971173,0.003925066204234244,0.12412441446210191,0.12302575954005678,0.0,0.0,0.0006253535102684531,0.0003183607071101592
repeated,30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",42,5,240,60,1348,1792.2637787035242,42.33513645547306,1,0.03,5,0.5,0.85,1.0,5.0,0.1,0.20684783954414548,0.015631525328860196,0.3727868436440999,0.001649421748120841,0.1733481199443694,0.0018959055768254652,0.12380406229324055,0.09524611343085004,0.0016903557240558562,0.0002203961910766597,0.0038741030662334747,0.0030053135081221016
