tree_number,tree_seed,bootstrap_size,unique_inbag_rows,duplicate_draws,oob_rows,tree_depth,node_count,leaf_count,candidate_nodes,min_candidate_features,max_candidate_features
1476,1304734476,300,192,108,108,8,197,99,103,4,4
1477,254697828,300,177,123,123,8,161,81,87,4,4
1478,1143591119,300,191,109,109,8,207,104,107,4,4
1479,352454860,300,196,104,104,8,203,102,102,4,4
1480,215990573,300,200,100,100,8,199,100,104,4,4
1481,975576331,300,190,110,110,8,191,96,100,4,4
1482,917666112,300,193,107,107,8,205,103,108,4,4
1483,1539385799,300,190,110,110,8,197,99,104,4,4
1484,1569322802,300,186,114,114,8,201,101,104,4,4
1485,1702159110,300,192,108,108,8,183,92,99,4,4
1486,1267390701,300,190,110,110,8,215,108,113,4,4
1487,1498987969,300,189,111,111,8,209,105,108,4,4
1488,1910557816,300,193,107,107,8,189,95,101,4,4
1489,1710037147,300,194,106,106,8,211,106,112,4,4
1490,1461501606,300,185,115,115,8,221,111,115,4,4
1491,925854575,300,185,115,115,8,153,77,85,4,4
1492,1528401942,300,188,112,112,8,187,94,99,4,4
1493,1800162898,300,194,106,106,8,157,79,81,4,4
1494,696815055,300,192,108,108,8,231,116,124,4,4
1495,1216253712,300,185,115,115,8,181,91,98,4,4
1496,1359109104,300,188,112,112,8,211,106,110,4,4
1497,1483721970,300,191,109,109,8,219,110,114,4,4
1498,930984570,300,189,111,111,8,197,99,104,4,4
1499,345079156,300,187,113,113,8,223,112,117,4,4
1500,407362251,300,198,102,102,8,215,108,110,4,4
1501,591864580,300,188,112,112,8,219,110,113,4,4
1502,1343001452,300,193,107,107,8,161,81,81,4,4
1503,618317938,300,196,104,104,8,223,112,118,4,4
1504,368419214,300,191,109,109,8,197,99,108,4,4
1505,699060926,300,187,113,113,8,183,92,97,4,4
1506,127588019,300,198,102,102,8,177,89,92,4,4
1507,1316108356,300,190,110,110,8,169,85,92,4,4
1508,591714574,300,195,105,105,8,215,108,112,4,4
1509,1555149840,300,191,109,109,8,203,102,105,4,4
1510,1019103107,300,185,115,115,8,177,89,93,4,4
1511,1639096397,300,198,102,102,8,191,96,99,4,4
1512,960745396,300,186,114,114,8,207,104,110,4,4
1513,1546123261,300,191,109,109,8,187,94,101,4,4
1514,1139752011,300,192,108,108,8,203,102,105,4,4
1515,24367689,300,204,96,96,8,247,124,128,4,4
1516,1282092317,300,196,104,104,8,177,89,92,4,4
1517,2064784568,300,197,103,103,8,207,104,109,4,4
1518,1205877514,300,201,99,99,8,243,122,126,4,4
1519,2062680797,300,198,102,102,8,187,94,99,4,4
1520,645127165,300,184,116,116,8,165,83,85,4,4
1521,183743455,300,194,106,106,8,207,104,107,4,4
1522,340588433,300,191,109,109,8,207,104,112,4,4
1523,1378002151,300,181,119,119,8,177,89,92,4,4
1524,849048434,300,194,106,106,8,205,103,109,4,4
1525,408083783,300,192,108,108,8,203,102,109,4,4
