model,family,degree,penalty,C,log_loss_mean,log_loss_sd,auc_mean,auc_sd,accuracy_mean,f1_mean
ridge_poly5_C0.1,sklearn_regularized,5,l2,0.1,0.555528647228453,0.05089760433664888,0.8004448891625615,0.04681065248673351,0.7186666666666666,0.6954629907633547
ridge_poly3_C0.1,sklearn_regularized,3,l2,0.1,0.555534524268342,0.044008756138206345,0.8004851372556808,0.04564507182126001,0.7240000000000001,0.7065698640821266
lasso_poly2_C0.1,sklearn_regularized,2,l1,0.1,0.5579299275999551,0.031384127516644815,0.7981861790878755,0.04672215251075507,0.7203333333333333,0.7134788968921167
ridge_poly4_C0.03,sklearn_regularized,4,l2,0.03,0.5581605836215513,0.02919871414927311,0.8058360976481805,0.04443794465231975,0.7216666666666667,0.6937669182689419
lasso_poly3_C0.1,sklearn_regularized,3,l1,0.1,0.5584159658690411,0.03125637782525218,0.7975619984506594,0.046710818214372896,0.721,0.7140860486802572
ridge_poly6_C0.1,sklearn_regularized,6,l2,0.1,0.559515050778141,0.05468976087664656,0.7955421450421103,0.04807073234060962,0.7240000000000001,0.7022787504111423
lasso_poly5_C0.1,sklearn_regularized,5,l1,0.1,0.5596533790735191,0.031049922450931765,0.7956461544573336,0.04698634784974043,0.7216666666666667,0.7142617685441501
lasso_poly6_C0.1,sklearn_regularized,6,l1,0.1,0.5596768511280473,0.031035382337237353,0.7956238330287622,0.04698601725848284,0.7216666666666667,0.7142617685441501
lasso_poly4_C0.1,sklearn_regularized,4,l1,0.1,0.5596987660759318,0.03110086618774605,0.7957354401716192,0.04698748629056947,0.7216666666666667,0.7144611987435803
ridge_poly6_C0.03,sklearn_regularized,6,l2,0.03,0.5601019749535047,0.03272649144611669,0.8011552270379787,0.045998638586046685,0.72,0.6921396558303026
ridge_poly5_C0.03,sklearn_regularized,5,l2,0.03,0.5609765940926303,0.03166700220152843,0.8044971098839981,0.04535742938976879,0.723,0.6960425655018514
ridge_poly3_C0.3,sklearn_regularized,3,l2,0.3,0.5622472784607023,0.06168567472186982,0.7970098472509137,0.04549114316154054,0.7216666666666667,0.7040900019635439
lasso_poly3_C1,sklearn_regularized,3,l1,1,0.5672340775094935,0.07007999263134115,0.7943794940807245,0.0462423674008048,0.7170000000000001,0.7005275439402578
ridge_poly4_C0.3,sklearn_regularized,4,l2,0.3,0.5689445847947394,0.06936303271129368,0.7953204949944382,0.04658309411890694,0.7223333333333334,0.7034718847949015
ridge_poly5_C0.3,sklearn_regularized,5,l2,0.3,0.5695183240384556,0.07229507841441495,0.7949131972032417,0.047481984908525315,0.722,0.7022065932227605
ridge_poly2_C0.03,sklearn_regularized,2,l2,0.03,0.5712393192026098,0.023431794852931828,0.8032289597568727,0.04706465036426457,0.7233333333333333,0.7017947777394953
ridge_poly3_C0.03,sklearn_regularized,3,l2,0.03,0.5720438567093011,0.02843679082143519,0.8009732291832194,0.04948916369572834,0.7216666666666667,0.696398624448575
