model,optional_terms,n_optional_terms,fold,log_loss,auc,accuracy,f1
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,14,0.439449865133983,0.9021134593993327,0.8333333333333334,0.8148148148148148
main effects only,none,0,15,0.8049184776146813,0.5194660734149055,0.5166666666666667,0.49122807017543857
main + x1_sq,x1_sq,1,15,0.7782396840394861,0.521690767519466,0.5,0.5
main + x2_sq,x2_sq,1,15,0.8056088569179194,0.5205784204671857,0.5,0.4444444444444444
main + x3_sq,x3_sq,1,15,0.8024521872263439,0.5317018909899889,0.5333333333333333,0.5
main + x1_x2,x1_x2,1,15,0.8060949862735198,0.5183537263626251,0.5,0.4642857142857143
main + x1_x3,x1_x3,1,15,0.7959743239956725,0.5294771968854283,0.5333333333333333,0.5
main + x2_x3,x2_x3,1,15,0.6937826228801004,0.6451612903225805,0.5333333333333333,0.46153846153846156
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,15,0.7786310767542347,0.5239154616240267,0.5,0.5
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,15,0.7757762417909044,0.5339265850945495,0.55,0.5423728813559322
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,15,0.7767376992778681,0.5250278086763069,0.5,0.5
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,15,0.7714855357083444,0.528364849833148,0.5333333333333333,0.5333333333333333
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,15,0.6762420609239818,0.6829810901001112,0.5833333333333334,0.5283018867924528
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,15,0.8031473870122593,0.5305895439377085,0.5333333333333333,0.5
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,15,0.8081329035193611,0.5205784204671857,0.5,0.4444444444444444
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,15,0.7965628231898684,0.5328142380422691,0.5166666666666667,0.4528301886792453
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,15,0.6996364704815126,0.6507230255839822,0.5333333333333333,0.46153846153846156
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,15,0.8055111838774884,0.5328142380422692,0.5333333333333333,0.5
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,15,0.7907726722742725,0.542825361512792,0.55,0.509090909090909
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,15,0.6945271887814134,0.6562847608453837,0.5166666666666667,0.43137254901960786
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,15,0.7942494925301425,0.5283648498331479,0.5333333333333333,0.5
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,15,0.6896840675752317,0.6507230255839822,0.5333333333333333,0.46153846153846156
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,15,0.6972769896455323,0.64293659621802,0.5333333333333333,0.46153846153846156
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,15,0.7762367886583063,0.5372636262513905,0.5166666666666667,0.49122807017543857
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,15,0.7780288285469161,0.5239154616240267,0.5,0.5
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,15,0.7717733094995002,0.5261401557285873,0.5,0.5
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,15,0.6779578892489374,0.6729699666295884,0.55,0.47058823529411764
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,15,0.7758278219166009,0.5339265850945495,0.55,0.5423728813559322
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,15,0.7670802533633936,0.5406006674082313,0.55,0.5263157894736842
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,15,0.6787373207058393,0.692992213570634,0.5666666666666667,0.5185185185185185
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,15,0.7658779304173592,0.5328142380422691,0.5333333333333333,0.5333333333333333
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,15,0.6708656754185979,0.6896551724137931,0.5666666666666667,0.5
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,15,0.6796241408446184,0.6840934371523916,0.5833333333333334,0.5283018867924528
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,15,0.807614169310039,0.5294771968854283,0.5166666666666667,0.4727272727272727
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,15,0.7914322172880824,0.5406006674082313,0.55,0.509090909090909
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,15,0.6984849809611788,0.6596218020022246,0.5166666666666667,0.43137254901960786
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,15,0.7959392086206021,0.5317018909899889,0.5166666666666667,0.4528301886792453
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,15,0.7003518966270501,0.6507230255839822,0.5333333333333333,0.46153846153846156
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,15,0.7019940119747248,0.649610678531702,0.5333333333333333,0.46153846153846156
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,15,0.7905761185071757,0.542825361512792,0.55,0.509090909090909
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,15,0.6935164082582941,0.6562847608453837,0.5166666666666667,0.43137254901960786
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,15,0.6951151553565232,0.6562847608453837,0.5166666666666667,0.43137254901960786
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,15,0.6921638798893522,0.6473859844271413,0.5333333333333333,0.46153846153846156
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,15,0.7772713886647148,0.5350389321468298,0.5166666666666667,0.49122807017543857
