model,optional_terms,n_optional_terms,cv_log_loss_mean,cv_log_loss_sd,cv_auc_mean,cv_auc_sd,cv_accuracy_mean,cv_f1_mean,full_data_aic,full_data_bic_deviance,full_data_deviance
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,0.6333451796057481,0.021806233733021773,0.7057884256316541,0.035469971341023906,0.6199999999999999,0.5852258852258851,385.47845073499417,-1303.433596813929,373.47845073499417
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,0.6334334559804357,0.02995834185233291,0.7006753535674559,0.039992447507613424,0.62,0.6279008422056254,384.21186922343475,-1300.996395850832,370.2118692234348
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,0.6338688532688411,0.02092015953736858,0.7142742928650881,0.045780190079231266,0.64,0.6071846671846671,386.3962445161243,-1298.8120205581426,372.3962445161243
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,0.6349449160322765,0.029423227324622856,0.7006775881932306,0.040514977667593904,0.6233333333333333,0.6289534910613104,383.25249633189935,-1301.9557687423676,369.25249633189935
main + x1_x2,x1_x2,1,0.6349585886316895,0.020183623602615195,0.6997653642936597,0.02915126221241469,0.6166666666666666,0.5861671023189572,385.94656015289513,-1306.6692698706843,375.94656015289513
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,0.6351879163566038,0.020350263730836503,0.7051195276497696,0.029206910550872333,0.6300000000000001,0.5970910036452877,386.9682081591955,-1301.9438393897276,374.9682081591955
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,0.6353841603102701,0.02705770456301777,0.6846069044970602,0.030591482113878028,0.63,0.6336217847492718,384.71820289378593,-1300.490062180481,370.7182028937858
main + x1_sq + x2_sq + x3_sq + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x3",4,0.6355011625844607,0.03779917452810456,0.7078122517082472,0.044116310418774785,0.63,0.6332374305654465,383.76400735694995,-1297.7404752426605,367.76400735694995
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,0.6356178201869042,0.02079178652376088,0.7078003337041157,0.03854378141453811,0.6166666666666666,0.5824514454459676,385.9996850635373,-1302.912362485386,373.9996850635372
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,0.6360656686351853,0.03105656900828773,0.6921917209597966,0.03127701832534121,0.62,0.6278985266422954,385.7736409222102,-1295.7308416774003,369.7736409222101
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,0.6362578412973714,0.0198500692200596,0.7046820375814398,0.0347982056566943,0.6300000000000001,0.6004894570437409,387.22572107943427,-1301.686326469489,375.22572107943427
main + x1_sq + x2_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x1_x2, x1_x3",4,0.6367094082998851,0.030021377136967942,0.6997728130462418,0.031209524995888752,0.64,0.6440207075064711,384.375667441009,-1297.1288151586016,368.375667441009
main + x2_sq,x2_sq,1,0.6368352601303012,0.018786316862784997,0.7022222111870333,0.030147170502294922,0.6166666666666666,0.5861551491496713,386.27381425386505,-1306.3420157697142,376.2738142538651
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,0.6370563277383692,0.02284386846775453,0.7093613439535992,0.039928065970441774,0.6433333333333333,0.6124096309001968,387.86207865546515,-1293.6424039441454,371.86207865546515
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,0.6376182926791379,0.03701470962374256,0.7060213232957254,0.03612291971428781,0.6366666666666667,0.6366934584843069,385.0053736291577,-1292.7953264957969,367.0053736291577
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,0.6385020090473161,0.024359812193179405,0.7033323236135389,0.03505852009225552,0.6300000000000001,0.5964350767629456,387.3549035003532,-1297.8533615739136,373.3549035003532
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,0.6402538589497555,0.022020145880812893,0.6984342722072144,0.031127843907192997,0.6300000000000001,0.6004894570437409,388.9054318166923,-1296.3028332575745,374.9054318166924
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,0.640295383967737,0.02216796359019674,0.6948606090100111,0.02966548582544443,0.6266666666666666,0.5979177334016044,387.8437416982474,-1301.0683058506756,375.8437416982474
