cv_seed,fold,model,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,inner_selected_log_loss,selected_parameters
19618,5,raw_l1,0.38075219447159425,0.1170771956544808,0.756,0.16787978131796055,0.16666666666666666,0.3852755131405511,"{""logistic__C"": 0.31622776601683794}"
19618,5,ordinal_onehot_l2,0.3791835918330622,0.11880050264579922,0.8140000000000001,0.16712418022375367,0.16666666666666666,0.39557312665294625,"{""logistic__C"": 0.1}"
19618,5,quadratic_l2,0.3577594414053679,0.11099046422007303,0.8,0.15165031979308974,0.16666666666666666,0.3691506300816546,"{""logistic__C"": 0.03162277660168379}"
19618,5,spline_degree2_l2,0.37264662516316444,0.11500289859209568,0.792,0.15316801204031635,0.16666666666666666,0.3632480358292485,"{""logistic__C"": 0.03162277660168379}"
19618,5,spline_degree3_l2,0.36342105048008594,0.11318451024946824,0.846,0.1466523576104962,0.16666666666666666,0.3703525615993528,"{""logistic__C"": 0.03162277660168379}"
31415,1,raw_l2,0.3361853526077735,0.10364795663860144,0.8311546840958606,0.1523318233066012,0.15,0.3651895394413348,"{""logistic__C"": 0.1}"
31415,1,domain_log_l2,0.3464652618126509,0.10781292027865011,0.826797385620915,0.16127229328610487,0.15,0.37229392313498333,"{""logistic__C"": 0.1}"
31415,1,raw_l1,0.317912150576762,0.09803665493618734,0.8464052287581699,0.1520147277242453,0.15,0.3785910001864177,"{""logistic__C"": 1.0}"
31415,1,ordinal_onehot_l2,0.33217342994093535,0.10422691050099814,0.8594771241830066,0.16172001894337484,0.15,0.38649887934183735,"{""logistic__C"": 0.31622776601683794}"
31415,1,quadratic_l2,0.32712000169350275,0.10136492601505134,0.8442265795206971,0.15366685352936946,0.15,0.3620586597543557,"{""logistic__C"": 0.03162277660168379}"
31415,1,spline_degree2_l2,0.33985272384875775,0.10384475689581542,0.8442265795206971,0.1613535579457528,0.15,0.370661813649097,"{""logistic__C"": 0.03162277660168379}"
31415,1,spline_degree3_l2,0.3429841312245988,0.10563222799242666,0.8355119825708062,0.15773086733360303,0.15,0.37137667534802726,"{""logistic__C"": 0.03162277660168379}"
31415,2,raw_l2,0.33548302937293895,0.1025427997338118,0.8474945533769064,0.14576624333946112,0.15,0.37965690736904856,"{""logistic__C"": 0.1}"
31415,2,domain_log_l2,0.35477597805794786,0.10708567221091807,0.7821350762527233,0.15050757285861321,0.15,0.37643326020779916,"{""logistic__C"": 0.1}"
31415,2,raw_l1,0.32718158211987647,0.10026312134972484,0.8366013071895424,0.14578098570774736,0.15,0.39116264667795014,"{""logistic__C"": 1.0}"
31415,2,ordinal_onehot_l2,0.3449160529333563,0.10652117612976258,0.7821350762527233,0.12933393613711405,0.15,0.388804456563672,"{""logistic__C"": 1.0}"
31415,2,quadratic_l2,0.33115790955520286,0.10120882638003496,0.821350762527233,0.13988973378164718,0.15,0.3736077328857621,"{""logistic__C"": 0.31622776601683794}"
31415,2,spline_degree2_l2,0.3491915164325488,0.1064424193955502,0.8061002178649237,0.13917677627036223,0.15,0.3734558215015479,"{""logistic__C"": 0.03162277660168379}"
31415,2,spline_degree3_l2,0.3540598636342939,0.10861613095113347,0.8039215686274509,0.14137561385340938,0.15,0.3707912065380824,"{""logistic__C"": 0.03162277660168379}"
31415,3,raw_l2,0.3208115185637987,0.09513104220143256,0.8387799564270152,0.16483847765127277,0.15,0.3863455644876855,"{""logistic__C"": 0.1}"
31415,3,domain_log_l2,0.34104222127311756,0.10034135751832333,0.812636165577342,0.15916186669851345,0.15,0.3945046971915806,"{""logistic__C"": 0.03162277660168379}"
31415,3,raw_l1,0.3351877656435774,0.09847171412282778,0.7995642701525055,0.17371684626405237,0.15,0.39745991142259374,"{""logistic__C"": 0.31622776601683794}"
31415,3,ordinal_onehot_l2,0.3383778854018478,0.10341840394971122,0.8583877995642701,0.15907737181063242,0.15,0.41332774140909984,"{""logistic__C"": 0.1}"
31415,3,quadratic_l2,0.3317957441568113,0.09891263818150858,0.8191721132897604,0.15981775920439686,0.15,0.382873268487936,"{""logistic__C"": 0.01}"
31415,3,spline_degree2_l2,0.33633423389683353,0.10089644680043347,0.7952069716775599,0.15527444574486193,0.15,0.3832278265436464,"{""logistic__C"": 0.03162277660168379}"
31415,3,spline_degree3_l2,0.34351730545048914,0.10214578253390094,0.7712418300653595,0.1540901776446745,0.15,0.38590897242242966,"{""logistic__C"": 0.03162277660168379}"
31415,4,raw_l2,0.3600146410339431,0.10710017191500541,0.7520000000000001,0.20841361403673533,0.16666666666666666,0.365741544154743,"{""logistic__C"": 0.31622776601683794}"
31415,4,domain_log_l2,0.33753418081661507,0.09895581764753131,0.784,0.20778932435259348,0.16666666666666666,0.37961137769510306,"{""logistic__C"": 0.1}"
31415,4,raw_l1,0.38405583996657905,0.11671180480707824,0.7440000000000001,0.21535377250137824,0.16666666666666666,0.367020057367407,"{""logistic__C"": 1.0}"
31415,4,ordinal_onehot_l2,0.43552175335094745,0.13336125459956658,0.66,0.2029148753483621,0.16666666666666666,0.37454484617260175,"{""logistic__C"": 0.31622776601683794}"
31415,4,quadratic_l2,0.3394414612661223,0.09981417268521216,0.768,0.20514298116936758,0.16666666666666666,0.3656896722127879,"{""logistic__C"": 0.1}"
31415,4,spline_degree2_l2,0.34187441560069703,0.09881487859959238,0.768,0.20172653004487423,0.16666666666666666,0.37453113588860804,"{""logistic__C"": 0.03162277660168379}"
31415,4,spline_degree3_l2,0.33029575975039965,0.09611669574272814,0.7939999999999999,0.20278920510089665,0.16666666666666666,0.37106528183597687,"{""logistic__C"": 0.03162277660168379}"
31415,5,raw_l2,0.500568354377461,0.15791398493136935,0.624,0.10885178060688296,0.16666666666666666,0.3314940435708579,"{""logistic__C"": 0.31622776601683794}"
31415,5,domain_log_l2,0.4966970602746157,0.15126076793127818,0.576,0.10742473445959225,0.16666666666666666,0.3472119126104639,"{""logistic__C"": 0.1}"
31415,5,raw_l1,0.5086708435513703,0.16162808845598833,0.62,0.11202261251630201,0.16666666666666666,0.34021083497152205,"{""logistic__C"": 1.0}"
31415,5,ordinal_onehot_l2,0.45986037263368945,0.14574993369626243,0.652,0.11060088071821762,0.16666666666666666,0.35538858935001993,"{""logistic__C"": 0.31622776601683794}"
