base_id,complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds
s51|imb=scale_pos_weight|w=2.0|delta=0.0|r=None|k=None,s51|imb=scale_pos_weight|w=2.0|delta=0.0|r=None|k=None|cal=none|folds=None,51,0.4030393288295147,0.06728390706909901,0.12413999587297439,0.7401511982570805,0.21729606688022612,0.15666666666666665,0.06062940021355947,150.2,144,0.8370629370629372,0.76,3,0.03,1,0.5,1.0,0.85,5.0,0.1,scale_pos_weight,2.0,0.0,,,none,
s55|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None,s55|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None|cal=none|folds=None,55,0.40345922855805066,0.06868149230048455,0.12401356995105743,0.7369010893246187,0.19944845139980316,0.15666666666666665,0.0427817847331365,208.0,91,0.5281318073216184,0.72,4,0.03,3,1.0,1.0,0.7,5.0,0.0,random_over,1.0,0.0,0.3,,none,
s43|imb=smote|w=1.0|delta=0.0|r=0.7|k=10,s43|imb=smote|w=1.0|delta=0.0|r=0.7|k=10|cal=none|folds=None,43,0.4035037882471165,0.06594438631863916,0.12822069227695465,0.770316339869281,0.2330065041780472,0.15666666666666665,0.07633983751138054,117.0,102,0.5713286713286714,0.6799999999999999,4,0.1,3,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.7,10.0,none,
s51|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None,s51|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None|cal=none|folds=None,51,0.40356758097351986,0.07144357896625018,0.12387572973966599,0.742840522875817,0.21700912117958068,0.15666666666666665,0.06034245451291402,157.8,167,0.8321678321678323,0.76,3,0.03,1,0.5,1.0,0.85,5.0,0.1,scale_pos_weight,2.0,1.0,,,none,
s41|imb=smote|w=1.0|delta=0.0|r=0.4|k=4,s41|imb=smote|w=1.0|delta=0.0|r=0.4|k=4|cal=none|folds=None,41,0.40382471609163506,0.05262661613228256,0.12650294601917267,0.7425333333333335,0.19876518249511718,0.15666666666666665,0.042098515828450526,79.2,69,0.5391608391608392,0.5399999999999999,2,0.1,1,0.0,1.0,1.0,1.0,0.0,smote,1.0,0.0,0.4,4.0,none,
s43|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None,s43|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None|cal=none|folds=None,43,0.40497962166812956,0.04947212402820602,0.12496156841516495,0.7633729847494554,0.19888167083263397,0.15666666666666665,0.04221500416596731,87.6,19,0.681346533434996,0.86,4,0.1,3,0.5,0.85,0.7,5.0,1.0,random_over,1.0,0.0,0.3,,none,
s58|imb=scale_pos_weight|w=2.32|delta=0.0|r=None|k=None,s58|imb=scale_pos_weight|w=2.32|delta=0.0|r=None|k=None|cal=none|folds=None,58,0.4060740788475258,0.057623641317044894,0.12640101462602615,0.748633551198257,0.2398284047842026,0.15666666666666665,0.08316173811753594,308.4,339,0.7893149798856618,0.72,3,0.01,1,0.5,1.0,0.85,1.0,1.0,scale_pos_weight,2.32,0.0,,,none,
s28|imb=scale_pos_weight|w=3.0|delta=1.0|r=None|k=None,s28|imb=scale_pos_weight|w=3.0|delta=1.0|r=None|k=None|cal=none|folds=None,28,0.40675199284231345,0.06480229951509335,0.12933857291936873,0.7557228758169935,0.23999330699443816,0.15666666666666665,0.08332664032777153,163.0,143,0.8447552447552449,0.9200000000000002,3,0.03,3,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,3.0,1.0,,,none,
s58|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None,s58|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None|cal=none|folds=None,58,0.40737207029551736,0.06369672940716313,0.1252673327922821,0.7338370370370371,0.20271532237529755,0.15666666666666665,0.046048655708630884,208.2,213,0.6014626919345994,0.66,3,0.01,1,0.5,1.0,0.85,1.0,1.0,random_over,1.0,0.0,0.3,,none,
s55|imb=smote|w=1.0|delta=0.0|r=0.7|k=10,s55|imb=smote|w=1.0|delta=0.0|r=0.7|k=10|cal=none|folds=None,55,0.407552873581183,0.058935123185240676,0.1303379774093628,0.7615590413943355,0.23936671316623687,0.15666666666666665,0.08270004649957023,425.0,261,0.5461538461538462,0.6399999999999999,4,0.03,3,1.0,1.0,0.7,5.0,0.0,smote,1.0,0.0,0.7,10.0,none,
s43|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None,s43|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None|cal=none|folds=None,43,0.40760082039404066,0.05158373900793897,0.1285503998398781,0.7641307189542483,0.21836960315704346,0.15666666666666665,0.061702936490376795,118.6,69,0.7237762237762237,0.86,4,0.1,3,0.5,0.85,0.7,5.0,1.0,scale_pos_weight,2.32,1.0,,,none,
s58|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None,s58|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None|cal=none|folds=None,58,0.4080840215768212,0.06567422604510709,0.12688713967800141,0.7499442265795208,0.23447751104831696,0.15666666666666665,0.07781084438165028,403.2,402,0.7804195804195805,0.8,3,0.01,1,0.5,1.0,0.85,1.0,1.0,scale_pos_weight,2.32,1.0,,,none,
s43|imb=smote|w=1.0|delta=0.0|r=0.4|k=3,s43|imb=smote|w=1.0|delta=0.0|r=0.4|k=3|cal=none|folds=None,43,0.4082050120790364,0.05583890799315581,0.12749714851379396,0.7546013071895425,0.2149186313152313,0.15666666666666665,0.05825196464856466,102.0,54,0.35524475524475535,0.58,4,0.1,3,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.4,3.0,none,
s43|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None,s43|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None|cal=none|folds=None,43,0.4087162705505394,0.05422284680174382,0.12712870836257933,0.7614662309368192,0.2178011029958725,0.15666666666666665,0.06113443632920583,74.2,40,0.7006993006993008,0.86,4,0.1,3,0.5,0.85,0.7,5.0,1.0,scale_pos_weight,2.0,1.0,,,none,
s41|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None,s41|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None|cal=none|folds=None,41,0.4089773989802163,0.0776305702765945,0.12821417003870011,0.743494117647059,0.20954241156578063,0.15666666666666665,0.05287574489911397,77.4,67,0.7256761647112228,0.78,2,0.1,1,0.0,1.0,1.0,1.0,0.0,scale_pos_weight,2.0,1.0,,,none,
