stage,complete_id,structure_id,cv_seed,fold,n_train,n_validation,positive_train,positive_validation,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=3,69,9618,3,240,60,38,9,0.30019628866212783,0.08590801871022438,0.8660130718954248,0.16753525348490003,0.15,0.017535253484900037,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,3,0.13415080904717688,0.1484620978440397,0.11089706368128151,0.053075500241275574,0.08522279120254511,0.0841142371327785,0.11471544899599335,0.0966604100761435,0.04531516999075916,0.028905379777921847,0.04928099724038723,0.049200094769697805
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=3,69,9618,4,240,60,37,10,0.38399162183815844,0.11523346623993898,0.748,0.15810028325732786,0.16666666666666666,-0.008566383409338796,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,3,0.1476280443241506,0.15799040887630666,0.09858538574243156,0.04596644918642337,0.10058269160330365,0.06449157773552602,0.10105612468430375,0.09066733192386171,0.03943558063460159,0.02123522948533155,0.08129896842182174,0.05106220738193779
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=3,69,9618,5,240,60,37,10,0.3717553010492582,0.11396350715153723,0.8300000000000001,0.1595996124586253,0.16666666666666666,-0.007067054208041351,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,3,0.14070154506538407,0.15094450973716542,0.08876956470928997,0.08708065282765008,0.07482417515193822,0.06364548427089677,0.10121066967552686,0.10009623814174826,0.03173555098002133,0.035808511594301505,0.06292513291301356,0.062257964933063986
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=5,69,9618,1,240,60,38,9,0.43806364162804107,0.1340811815685094,0.6427015250544662,0.11386469596430399,0.15,-0.03613530403569601,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,5,0.145740980676928,0.14242508100541837,0.1123286029078466,0.08694513697015317,0.08458044534286953,0.057220737151015534,0.09476756368363824,0.11694543687705351,0.02723250168577762,0.042341495103345464,0.029165152657975195,0.06030686593797886
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=5,69,9618,2,240,60,38,9,0.37046790635440724,0.11480147969050404,0.8202614379084967,0.14561843241356406,0.15,-0.0043815675864359305,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,5,0.12667074744627976,0.17061811789924028,0.10080268808658528,0.08456012338217447,0.07725293212584917,0.05037078685279768,0.09583784637427581,0.09380566306076146,0.05063592753222579,0.022233558902644474,0.05573986258707631,0.0714717457500895
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=5,69,9618,3,240,60,38,9,0.2959913295322111,0.08491450485464513,0.8660130718954248,0.16666622476414059,0.15,0.01666622476414059,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,5,0.13415080904717688,0.1484620978440397,0.11089706368128151,0.053075500241275574,0.08522279120254511,0.0841142371327785,0.11471544899599335,0.0966604100761435,0.04531516999075916,0.028905379777921847,0.04928099724038723,0.049200094769697805
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=5,69,9618,4,240,60,37,10,0.3823485129773135,0.11473445777353436,0.748,0.15750056305041493,0.16666666666666666,-0.009166103616251725,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,5,0.1476280443241506,0.15799040887630666,0.09858538574243156,0.04596644918642337,0.10058269160330365,0.06449157773552602,0.10105612468430375,0.09066733192386171,0.03943558063460159,0.02123522948533155,0.08129896842182174,0.05106220738193779
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=5,69,9618,5,240,60,37,10,0.3672969614313262,0.11270158701587282,0.8300000000000001,0.16207343335438593,0.16666666666666666,-0.004593233312280731,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,5,0.14070154506538407,0.15094450973716542,0.08876956470928997,0.08708065282765008,0.07482417515193822,0.06364548427089677,0.10121066967552686,0.10009623814174826,0.03173555098002133,0.035808511594301505,0.06292513291301356,0.062257964933063986
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=8,69,9618,1,240,60,38,9,0.4377024325189646,0.13458398145217304,0.6427015250544662,0.11883200839404151,0.15,-0.031167991605958484,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,8,0.145740980676928,0.14242508100541837,0.1123286029078466,0.08694513697015317,0.08458044534286953,0.057220737151015534,0.09476756368363824,0.11694543687705351,0.02723250168577762,0.042341495103345464,0.029165152657975195,0.06030686593797886
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=8,69,9618,2,240,60,38,9,0.3686683467777836,0.11440648408302033,0.8202614379084967,0.14652175629967104,0.15,-0.0034782437003289535,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,8,0.12667074744627976,0.17061811789924028,0.10080268808658528,0.08456012338217447,0.07725293212584917,0.05037078685279768,0.09583784637427581,0.09380566306076146,0.05063592753222579,0.022233558902644474,0.05573986258707631,0.0714717457500895
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=8,69,9618,3,240,60,38,9,0.3051377716495252,0.0872871385457244,0.8660130718954248,0.16647582451164974,0.15,0.01647582451164975,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,8,0.13415080904717688,0.1484620978440397,0.11089706368128151,0.053075500241275574,0.08522279120254511,0.0841142371327785,0.11471544899599335,0.0966604100761435,0.04531516999075916,0.028905379777921847,0.04928099724038723,0.049200094769697805
