model,family,fold,degree,penalty,C,log_loss,auc,accuracy,f1
lasso_poly5_C0.03,sklearn_regularized,10,5,l1,0.03,0.6390988997006859,0.8264738598442715,0.75,0.7368421052631579
lasso_poly5_C0.1,sklearn_regularized,10,5,l1,0.1,0.5331679239206858,0.8242491657397109,0.75,0.7368421052631579
lasso_poly5_C0.3,sklearn_regularized,10,5,l1,0.3,0.5355640529281264,0.8020022246941046,0.7166666666666667,0.7017543859649122
lasso_poly5_C1,sklearn_regularized,10,5,l1,1,0.5338738169713745,0.8164627363737487,0.75,0.7272727272727273
lasso_poly5_C3,sklearn_regularized,10,5,l1,3,0.8339300312036566,0.7919911012235817,0.7333333333333333,0.7333333333333333
lasso_poly5_C10,sklearn_regularized,10,5,l1,10,1.4213683500184113,0.746384872080089,0.7333333333333333,0.7419354838709677
lasso_poly5_C30,sklearn_regularized,10,5,l1,30,1.7098845572139894,0.7313681868743048,0.7166666666666667,0.7213114754098361
lasso_poly5_C100,sklearn_regularized,10,5,l1,100,1.9432671362360294,0.7219132369299222,0.7166666666666667,0.7213114754098361
lasso_poly6_C0.01,sklearn_regularized,10,6,l1,0.01,0.6931471805599454,0.5,0.48333333333333334,0.651685393258427
lasso_poly6_C0.03,sklearn_regularized,10,6,l1,0.03,0.6390985590837589,0.8264738598442715,0.75,0.7368421052631579
lasso_poly6_C0.1,sklearn_regularized,10,6,l1,0.1,0.5331800078503114,0.8242491657397109,0.75,0.7368421052631579
lasso_poly6_C0.3,sklearn_regularized,10,6,l1,0.3,0.5355535639193535,0.8020022246941046,0.7166666666666667,0.7017543859649122
lasso_poly6_C1,sklearn_regularized,10,6,l1,1,0.6083819986882665,0.7875417130144605,0.75,0.7368421052631579
lasso_poly6_C3,sklearn_regularized,10,6,l1,3,0.9110185904425505,0.7652947719688543,0.7166666666666667,0.711864406779661
lasso_poly6_C10,sklearn_regularized,10,6,l1,10,1.240452027444623,0.7330367074527253,0.7,0.7096774193548387
lasso_poly6_C30,sklearn_regularized,10,6,l1,30,1.407054591029578,0.7541713014460512,0.7166666666666667,0.7301587301587301
