model,terms,fold,log_loss,auc,accuracy,f1
interaction_only_no_x2_x3_mains,x1 + x2_x3,27,0.55286609322123,0.7857142857142857,0.7166666666666667,0.6909090909090909
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,28,0.5747952701438692,0.8102678571428572,0.7333333333333333,0.7419354838709677
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,28,0.5801124305181428,0.8091517857142857,0.7333333333333333,0.7419354838709677
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,28,0.5477615143993115,0.8046875,0.7166666666666667,0.711864406779661
interaction_only_no_x2_x3_mains,x1 + x2_x3,28,0.5558337933750844,0.8046875,0.75,0.7457627118644068
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,29,0.5748023746748105,0.7886540600667408,0.7,0.6538461538461539
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,29,0.5600301934592158,0.8042269187986651,0.7166666666666667,0.6666666666666666
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,29,0.5924281799105151,0.7664071190211346,0.7,0.64
interaction_only_no_x2_x3_mains,x1 + x2_x3,29,0.5785479865583487,0.778642936596218,0.7166666666666667,0.6666666666666666
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,30,0.5252665983407256,0.8231368186874305,0.7166666666666667,0.7384615384615385
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,30,0.5297606686601888,0.825361512791991,0.7,0.7272727272727273
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,30,0.5407458878340259,0.8153503893214683,0.7333333333333333,0.7419354838709677
interaction_only_no_x2_x3_mains,x1 + x2_x3,30,0.5445630932705338,0.8109010011123471,0.7,0.71875
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,31,0.6247821601368634,0.7645089285714285,0.7,0.7
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,31,0.5979204418347593,0.7879464285714286,0.7,0.7096774193548387
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,31,0.5515587078320962,0.7924107142857143,0.7,0.6896551724137931
interaction_only_no_x2_x3_mains,x1 + x2_x3,31,0.535212550979679,0.8080357142857143,0.7,0.7
