fold,log_loss,auc,accuracy,f1,model,n_optional_terms,optional_terms
4,0.6565924546863539,0.6707452725250278,0.6,0.5714285714285714,main + x2_sq + x3_sq + x1_x2,3,"x2_sq, x3_sq, x1_x2"
5,0.6472039454358575,0.6674082313681868,0.55,0.509090909090909,main + x2_sq + x3_sq + x1_x2,3,"x2_sq, x3_sq, x1_x2"
1,0.631319383086494,0.7645089285714286,0.7,0.7,main + x2_sq + x3_sq + x1_x3,3,"x2_sq, x3_sq, x1_x3"
2,0.5987133691497223,0.7611607142857142,0.6666666666666666,0.6153846153846154,main + x2_sq + x3_sq + x1_x3,3,"x2_sq, x3_sq, x1_x3"
3,0.6494329020164797,0.6953125,0.6666666666666666,0.6296296296296297,main + x2_sq + x3_sq + x1_x3,3,"x2_sq, x3_sq, x1_x3"
4,0.6481684681371417,0.6863181312569521,0.6166666666666667,0.5818181818181818,main + x2_sq + x3_sq + x1_x3,3,"x2_sq, x3_sq, x1_x3"
5,0.6417101439543678,0.664071190211346,0.55,0.509090909090909,main + x2_sq + x3_sq + x1_x3,3,"x2_sq, x3_sq, x1_x3"
1,0.4685880655887196,0.8649553571428572,0.7833333333333333,0.7547169811320755,main + x2_sq + x3_sq + x2_x3,3,"x2_sq, x3_sq, x2_x3"
2,0.5324656631951679,0.8035714285714286,0.7333333333333333,0.7142857142857143,main + x2_sq + x3_sq + x2_x3,3,"x2_sq, x3_sq, x2_x3"
3,0.5408914562511566,0.7935267857142857,0.7166666666666667,0.7017543859649122,main + x2_sq + x3_sq + x2_x3,3,"x2_sq, x3_sq, x2_x3"
4,0.5854254748363769,0.7563959955506118,0.65,0.6181818181818182,main + x2_sq + x3_sq + x2_x3,3,"x2_sq, x3_sq, x2_x3"
5,0.5754598081709698,0.7842046718576194,0.7,0.6785714285714286,main + x2_sq + x3_sq + x2_x3,3,"x2_sq, x3_sq, x2_x3"
1,0.6591006265662566,0.7265625,0.6833333333333333,0.6885245901639344,main + x2_sq + x1_x2 + x1_x3,3,"x2_sq, x1_x2, x1_x3"
2,0.5976348349995134,0.75,0.6333333333333333,0.5925925925925926,main + x2_sq + x1_x2 + x1_x3,3,"x2_sq, x1_x2, x1_x3"
3,0.6546870555203819,0.6830357142857142,0.6666666666666666,0.6296296296296297,main + x2_sq + x1_x2 + x1_x3,3,"x2_sq, x1_x2, x1_x3"
4,0.6384366825058756,0.6952169076751946,0.6,0.5714285714285714,main + x2_sq + x1_x2 + x1_x3,3,"x2_sq, x1_x2, x1_x3"
5,0.6426508456445533,0.6618464961067854,0.5666666666666667,0.5,main + x2_sq + x1_x2 + x1_x3,3,"x2_sq, x1_x2, x1_x3"
1,0.48637866847124833,0.8571428571428572,0.7833333333333333,0.7636363636363637,main + x2_sq + x1_x2 + x2_x3,3,"x2_sq, x1_x2, x2_x3"
2,0.5208001778057598,0.8258928571428572,0.7333333333333333,0.7142857142857143,main + x2_sq + x1_x2 + x2_x3,3,"x2_sq, x1_x2, x2_x3"
3,0.5478175063023963,0.7924107142857143,0.7333333333333333,0.7142857142857143,main + x2_sq + x1_x2 + x2_x3,3,"x2_sq, x1_x2, x2_x3"
4,0.5792120442231321,0.7597330367074527,0.6833333333333333,0.6545454545454545,main + x2_sq + x1_x2 + x2_x3,3,"x2_sq, x1_x2, x2_x3"
5,0.5574535705803132,0.7886540600667408,0.7,0.6785714285714286,main + x2_sq + x1_x2 + x2_x3,3,"x2_sq, x1_x2, x2_x3"
1,0.48039826690649423,0.8560267857142857,0.7833333333333333,0.7636363636363637,main + x2_sq + x1_x3 + x2_x3,3,"x2_sq, x1_x3, x2_x3"
2,0.5187146101423399,0.8203125,0.75,0.7368421052631579,main + x2_sq + x1_x3 + x2_x3,3,"x2_sq, x1_x3, x2_x3"
3,0.5528137289920956,0.7868303571428572,0.7,0.6896551724137931,main + x2_sq + x1_x3 + x2_x3,3,"x2_sq, x1_x3, x2_x3"
4,0.5808527569195979,0.7530589543937709,0.6833333333333333,0.6545454545454545,main + x2_sq + x1_x3 + x2_x3,3,"x2_sq, x1_x3, x2_x3"
5,0.5582718390044615,0.7842046718576196,0.7,0.6785714285714286,main + x2_sq + x1_x3 + x2_x3,3,"x2_sq, x1_x3, x2_x3"
1,0.6472953425621968,0.7488839285714286,0.7,0.7,main + x3_sq + x1_x2 + x1_x3,3,"x3_sq, x1_x2, x1_x3"
2,0.597118409578625,0.7589285714285714,0.6833333333333333,0.6415094339622641,main + x3_sq + x1_x2 + x1_x3,3,"x3_sq, x1_x2, x1_x3"
3,0.6399476473166522,0.6986607142857143,0.6333333333333333,0.5769230769230769,main + x3_sq + x1_x2 + x1_x3,3,"x3_sq, x1_x2, x1_x3"
