source_row_index,actual_distressed,smote_k10_ratio07_probability
251,1,0.5530412547991215
252,1,0.6041790516631281
253,0,0.5100069160746268
254,1,0.5874357611199715
255,0,0.5703757495813984
256,1,0.1503869463869464
257,1,0.5119152923900337
258,0,0.3121607451375038
259,0,0.5231698382917895
260,1,0.7985154276192012
261,1,0.2356341189674523
262,0,0.36790589490823117
263,0,0.7255791061363817
264,0,0.25655172413793104
265,1,0.48540539130589
266,0,0.36435337867599377
267,0,0.4158610422358837
268,0,0.14140127388535031
269,0,0.528342025206432
270,0,0.3934179736121483
271,0,0.19336043360433605
272,0,0.10417910447761194
273,0,0.2752587412587412
274,0,0.15458937198067632
275,1,0.31621109400462777
276,0,0.630275100028589
277,0,0.49206919463581456
278,0,0.11936507936507937
279,0,0.15435831511424092
280,0,0.17290815301132173
281,0,0.06734957548911037
282,0,0.5291147489649078
283,0,0.21850294365012615
284,0,0.6582912658795569
285,1,0.33166586499919826
286,0,0.2690909090909091
287,0,0.40649574602607386
288,0,0.0
289,0,0.68207410236822
290,0,0.40113404936371444
291,1,0.5121618223146491
292,0,0.35955299049504374
293,0,0.33117261582123914
294,0,0.011794019933554816
295,0,0.3342133875692339
296,0,0.013333333333333332
297,1,0.08043478260869566
298,0,0.2263702515369433
299,0,0.07337662337662337
