fold,strategy,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall,mean_predicted_probability,observed_prevalence
12,smote_ratio_0.5,0.9477509411708334,0.13609616001473498,0.687363834422658,0.8,0.5620915032679739,0.2857142857142857,0.2222222222222222,0.19188779520711066,0.15
12,smote_ratio_1.0,1.0414974752106307,0.16863882078677245,0.6612200435729847,0.7833333333333333,0.5980392156862745,0.3,0.3333333333333333,0.26001363318010046,0.15
13,none,0.8681136695337414,0.10851383138829435,0.8246187363834423,0.8666666666666667,0.6013071895424836,0.6666666666666666,0.2222222222222222,0.1706916996047431,0.15
13,class_weight_balanced,1.0114070112128903,0.17512559273978792,0.8246187363834423,0.6666666666666666,0.803921568627451,0.3103448275862069,1.0,0.3371263928803263,0.15
13,smote_ratio_0.5,1.6016423575854895,0.16562251171561496,0.6427015250544662,0.8333333333333334,0.5816993464052287,0.4,0.2222222222222222,0.27689910535056456,0.15
13,smote_ratio_1.0,2.3526391361889054,0.24255129901164751,0.6459694989106753,0.6833333333333333,0.630718954248366,0.25,0.5555555555555556,0.3360708044477185,0.15
14,none,2.0629082294735337,0.13596151345662993,0.643,0.8333333333333334,0.54,0.5,0.1,0.12408631772268136,0.16666666666666666
14,class_weight_balanced,2.2215952273284763,0.20764716252220533,0.643,0.5666666666666667,0.62,0.23333333333333334,0.7,0.3063016596248572,0.16666666666666666
14,smote_ratio_0.5,0.3931280822923553,0.13268409530399836,0.765,0.85,0.59,0.6666666666666666,0.2,0.25499765546277176,0.16666666666666666
14,smote_ratio_1.0,1.333201460546809,0.28411646899375154,0.639,0.6333333333333333,0.6599999999999999,0.2692307692307692,0.7,0.4020024245968651,0.16666666666666666
15,none,1.6199438505434005,0.1761131797349942,0.532,0.8333333333333334,0.5,0.0,0.0,0.1863932898415657,0.16666666666666666
15,class_weight_balanced,1.9253131195102926,0.3024699893436903,0.532,0.6,0.48,0.15,0.3,0.41277170183203976,0.16666666666666666
15,smote_ratio_0.5,2.2534496862109266,0.20954863649486455,0.577,0.8,0.52,0.25,0.1,0.30155810983397185,0.16666666666666666
15,smote_ratio_1.0,2.44477533824386,0.2961064069379336,0.514,0.48333333333333334,0.57,0.2,0.7,0.3851432437202188,0.16666666666666666
16,none,0.9283443850910101,0.1230529537802265,0.6797385620915032,0.85,0.5,0.0,0.0,0.15131313131313132,0.15
16,class_weight_balanced,1.1337616676588285,0.21606531732317566,0.662309368191721,0.7166666666666667,0.5588235294117647,0.21428571428571427,0.3333333333333333,0.368107199237424,0.15
16,smote_ratio_0.5,1.5590289234226693,0.1514678424179275,0.6056644880174291,0.8,0.6078431372549019,0.3333333333333333,0.3333333333333333,0.19152292010010374,0.15
16,smote_ratio_1.0,1.6856044161136932,0.19135303367371376,0.6612200435729847,0.7666666666666667,0.49673202614379086,0.14285714285714285,0.1111111111111111,0.2707355160803437,0.15
17,none,0.36085561799873983,0.11182265320870917,0.7701525054466231,0.85,0.5915032679738562,0.5,0.2222222222222222,0.15945826812728228,0.15
